Product Name,Sales
Bush Somerset Collection Bookcase,261.96
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
Bretford CR4500 Series Slim Rectangular Table,957.5775
Mitel 5320 IP Phone VoIP phone,907.152
Chromcraft Rectangular Conference Tables,1706.184
Konftel 250 Conference phone - Charcoal black,911.424
Fellowes PB200 Plastic Comb Binding Machine,407.976
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
Bretford CR4500 Series Slim Rectangular Table,1044.63
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
GE 30524EE4,1097.544
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
Plantronics HL10 Handset Lifter,371.168
AT&T CL83451 4-Handset Telephone,1029.95
Novimex Turbo Task Chair,319.41
"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
High-Back Leather Manager's Chair,831.936
Safco Industrial Wire Shelving,230.376
Novimex Swivel Fabric Task Chair,301.96
Logitech K350 2.4Ghz Wireless Keyboard,238.896
Logitech Gaming G510s - Keyboard,339.96
Hon Racetrack Conference Tables,787.53
Global Deluxe High-Back Manager's Chair,600.558
Bevis 44 x 96 Conference Tables,617.7
"Trav-L-File Heavy-Duty Shuttle II, Black",243.992
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
Safco Industrial Wire Shelving,671.93
Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
Global Deluxe High-Back Manager's Chair,457.568
Avaya 5420 Digital phone,944.93
Lexmark MX611dhe Monochrome Laser Printer,8159.952
Space Solutions HD Industrial Steel Shelving.,275.928
SAFCO Arco Folding Chair,1740.06
"Global Value Steno Chair, Gray",340.144
"Padded Folding Chairs, Black, 4/Carton",396.802
